ville,iata
ANTIBES,FRXAT
KAISERSLAUTERN HBF,DEKLT
CHORGES,FRIGS
STUTTGART HBF,DESGT
AVIGNON CENTRE,FRAES
SAARBRUECKEN/SARREBRUCK,DESBK
VALENCE VILLE,FRVAF
CRANSAC,FRFSR
SAINT QUENTIN,FRXSJ
BOULOGNE VILLE,FRAEB
NICE VILLE,FRNIC
TOULON,FRTLN
SAINCAIZE,FRSZE
BETHUNE,FRXBH
SAINT ROME DE CERNON,FRINN
EPINAL,FREPL
ARGELES SUR MER,FRARM
CERBERE,FRXCE
COMMERCY,FRBHA
SAMPIGNY CENTRE,FRSIA
LES SABLES D'OLONNE,FRLSO
AIX LES BAINS LE REVARD,FRXAI
FUTUROSCOPE,FRTGO
CLUSES (HAUTE SAVOIE),FRHTZ
ANNEMASSE,FRQNJ
SALLANCHES COMBLOUX MEGEVE,FRXSN
GRAMAT,FRFSB
VIVIEZ DECAZEVILLE,FRVZD
ZURICH HB,CHAJD
ST RAPHAEL VALESCURE,FRXSK
LIBOURNE,FRXLR
DOL DE BRETAGNE,FRDOL
CHATELLERAULT,FRXCX
SOUILLY,FRLPZ
METZ VILLE,FRADE
BERLIN HBF,DEHBF
BERLIN-GESUNDBRUNNEN,DEBGB
ERFURT HBF,DEERF
HALLE (SAALE) HBF,DEZHZ
BERLIN SUDKREUZ,DEHBS
MASSY PALAISEAU,FRMPU
LES ARCS DRAGUIGNAN,FRXRS
ST MAIXENT (DEUX SEVRES),FREJC
SAINT ETIENNE CHATEAUCREUX,FRHHD
SEDAN,FRXSW
VITRY LE FRANCOIS,FRBFO
LE CROISIC,FREGU
ALBERTVILLE,FRXAV
VENDOME VILLIERS SUR LOIR,FRESL
PORNICHET,FREGR
LE POULIGUEN,FREGS
REMIREMONT,FRRNT
MOUTIERS SALINS BRIDES LES BAINS,FRQMU
AIME LA PLAGNE,FRQAI
CALAIS FRETHUN,FRSTH
GRENOBLE,FRGNB
SAINT AVRE LA CHAMBRE,FRHOJ
HYERES,FRXHE
NURIEUX GARE,FRHQN
DOUAI,FRXDN
HAZEBROUCK,FRHZK
LANNEMEZAN,FRLNZ
DOLE VILLE,FRACE
FREIBURG (BREISGAU) HBF,DEFGB
MONTREJEAU GOURDAN POLIGNAN,FRMTJ
LAHR SCHWARZW,DEANL
ST GERVAIS LES BAINS LE FAYET,FRXGF
VALENCIENNES,FRXVS
EVIAN LES BAINS,FRXEB
AMIENS,FRQAM
REIMS,FRRHE
OFFENBURG,DEZPA
ANCENIS,FREFN
SARREBOURG,FRSBG
LUNEVILLE,FRLNE
DUNKERQUE,FRADI
ST DIE,FRXTD
BIGANOS FACTURE,FRFAC
LENS,FRXLE
LE BOUSQUET D'ORB,FRIMG
BADEN BADEN,DEZCC
MAGALAS,FRIMK
RODEZ,FRRDZ
MUNCHEN HBF,DEBEG
MARSEILLE BLANCARDE,FRMBC
AUGSBURG HBF,DEAGB
BRETENOUX BIARS,FRBXB
ULM HBF,DEQUL
